Weekly U.S. Refiner and Blender Adjusted Net Production of Finished Motor Gasoline
https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=WGFRPUS2&f=W
15:06:36 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Week of,Weekly U.S. Refiner and Blender Adjusted Net Production of Finished Motor Gasoline Thousand Barrels per Day
04/4/1997,7545
03/28/1997,7079
03/21/1997,7360
03/14/1997,7220
03/7/1997,7271
02/28/1997,7330
02/21/1997,7266
02/14/1997,7350
02/7/1997,7047
01/31/1997,7315
01/24/1997,7363
01/17/1997,7373
01/10/1997,7276
01/3/1997,7556
12/27/1996,7755
12/20/1996,7573
12/13/1996,7840
12/6/1996,8142
11/29/1996,7486
11/22/1996,7833
11/15/1996,7856
11/8/1996,7588
11/1/1996,7660
10/25/1996,7676
10/18/1996,7248
10/11/1996,7534
10/4/1996,7424
09/27/1996,7722
09/20/1996,7949
09/13/1996,7641
09/6/1996,7362
08/30/1996,7671
08/23/1996,7885
08/16/1996,7758
08/9/1996,7724
08/2/1996,7713
07/26/1996,7686
07/19/1996,7868
07/12/1996,7873
07/5/1996,7700
06/28/1996,7688
06/21/1996,7986
06/14/1996,7564
06/7/1996,7665
05/31/1996,7693
05/24/1996,7510
05/17/1996,7718
05/10/1996,7813
05/3/1996,7567
04/26/1996,7657
04/19/1996,7287
04/12/1996,7427
04/5/1996,7265
03/29/1996,7056
03/22/1996,7465
03/15/1996,7135
03/8/1996,7211
03/1/1996,7323
02/23/1996,7441
02/16/1996,7517
02/9/1996,7139
02/2/1996,7403
01/26/1996,7174
01/19/1996,7324
01/12/1996,7407
01/5/1996,7721
12/29/1995,7747
12/22/1995,7634
12/15/1995,7715
12/8/1995,7549
12/1/1995,7925
11/24/1995,7755
11/17/1995,7821
11/10/1995,7626
11/3/1995,7439
10/27/1995,7597
10/20/1995,7568
10/13/1995,7439
10/6/1995,7590
09/29/1995,7956
09/22/1995,7980
09/15/1995,7925
09/8/1995,7660
09/1/1995,7728
08/25/1995,7640
08/18/1995,7763
08/11/1995,7501
08/4/1995,7678
07/28/1995,7787
07/21/1995,7957
07/14/1995,7817
07/7/1995,7910
06/30/1995,7806
06/23/1995,8071
06/16/1995,7752
06/9/1995,7810
06/2/1995,7880
05/26/1995,8127
05/19/1995,7754
05/12/1995,7603
05/5/1995,7546
04/28/1995,7563
04/21/1995,7721
04/14/1995,7571
04/7/1995,7161
03/31/1995,7383
03/24/1995,7281
03/17/1995,7090
03/10/1995,7255
03/3/1995,7546
02/24/1995,7269
02/17/1995,7295
02/10/1995,7159
02/3/1995,7423
01/27/1995,7209
01/20/1995,7314
01/13/1995,7642
01/6/1995,7483
12/30/1994,7746
12/23/1994,7663
12/16/1994,7730
12/9/1994,7904
12/2/1994,8143
11/25/1994,7745
11/18/1994,7940
11/11/1994,7519
11/4/1994,7281
10/28/1994,7401
10/21/1994,7249
10/14/1994,7278
10/7/1994,7246
09/30/1994,7578
09/23/1994,7416
09/16/1994,7381
09/9/1994,7135
09/2/1994,7350
08/26/1994,7231
08/19/1994,7498
08/12/1994,7370
08/5/1994,7130
07/29/1994,7113
07/22/1994,7159
07/15/1994,7468
07/8/1994,6976
07/1/1994,7484
06/24/1994,7660
06/17/1994,7307
06/10/1994,7426
06/3/1994,7404
05/27/1994,7373
05/20/1994,7309
05/13/1994,7313
05/6/1994,7383
04/29/1994,7432
04/22/1994,7452
04/15/1994,7119
04/8/1994,6700
04/1/1994,6870
03/25/1994,6819
03/18/1994,6792
03/11/1994,6721
03/4/1994,6785
02/25/1994,6947
02/18/1994,6815
02/11/1994,6791
02/4/1994,6791
01/28/1994,6749
01/21/1994,6980
01/14/1994,7380
01/7/1994,7368
12/31/1993,7503
12/24/1993,7379
12/17/1993,7650
12/10/1993,7719
12/3/1993,7888
11/26/1993,7552
11/19/1993,7905
11/12/1993,7761
11/5/1993,7393
10/29/1993,7498
10/22/1993,7466
10/15/1993,7483
10/8/1993,7293
10/1/1993,7344
09/24/1993,7834
09/17/1993,7596
09/10/1993,7510
09/3/1993,7175
08/27/1993,7265
08/20/1993,7378
08/13/1993,7205
08/6/1993,7305
07/30/1993,7313
07/23/1993,7469
07/16/1993,7509
07/9/1993,7272
07/2/1993,7262
06/25/1993,7437
06/18/1993,7223
06/11/1993,7261
06/4/1993,7491
05/28/1993,7351
05/21/1993,7469
05/14/1993,7153
05/7/1993,7364
04/30/1993,7152
04/23/1993,6869
04/16/1993,6965
04/9/1993,6618
04/2/1993,6744
03/26/1993,6674
03/19/1993,6736
03/12/1993,6910
03/5/1993,7011
02/26/1993,7013
02/19/1993,7144
02/12/1993,7233
02/5/1993,7153
01/29/1993,7065
01/22/1993,7280
01/15/1993,7373
01/8/1993,7369
01/1/1993,7561
12/25/1992,7415
12/18/1992,7264
12/11/1992,7321
12/4/1992,7480
11/27/1992,7361
11/20/1992,7362
11/13/1992,7223
11/6/1992,7087
10/30/1992,6958
10/23/1992,7102
10/16/1992,7077
10/9/1992,7152
10/2/1992,7144
09/25/1992,7284
09/18/1992,6999
09/11/1992,6881
09/4/1992,6766
08/28/1992,6723
08/21/1992,7035
08/14/1992,7012
08/7/1992,6895
07/31/1992,7015
07/24/1992,7253
07/17/1992,7044
07/10/1992,7335
07/3/1992,7224
06/26/1992,7347
06/19/1992,7142
06/12/1992,7247
06/5/1992,7256
05/29/1992,7036
05/22/1992,7018
05/15/1992,7137
05/8/1992,6818
05/1/1992,7198
04/24/1992,7033
04/17/1992,6731
04/10/1992,6832
04/3/1992,6729
03/27/1992,6807
03/20/1992,6898
03/13/1992,6503
03/6/1992,6408
02/28/1992,6753
02/21/1992,6711
02/14/1992,6892
02/7/1992,6777
01/31/1992,6939
01/24/1992,6827
01/17/1992,7047
01/10/1992,7213
01/3/1992,7071
12/27/1991,7372
12/20/1991,7478
12/13/1991,7191
12/6/1991,7285
11/29/1991,7028
11/22/1991,7239
11/15/1991,6946
11/8/1991,6781
11/1/1991,6724
10/25/1991,6908
10/18/1991,6943
10/11/1991,6776
10/4/1991,7132
09/27/1991,7018
09/20/1991,7040
09/13/1991,7258
09/6/1991,6996
08/30/1991,7402
08/23/1991,7233
08/16/1991,7376
08/9/1991,7078
08/2/1991,7322
07/26/1991,7296
07/19/1991,7219
07/12/1991,7105
07/5/1991,7123
06/28/1991,7222
06/21/1991,7274
06/14/1991,7421
06/7/1991,7131
05/31/1991,7274
05/24/1991,7071
05/17/1991,6996
05/10/1991,6977
05/3/1991,6790
04/26/1991,6793
04/19/1991,6717
04/12/1991,6431
04/5/1991,6700
03/29/1991,6541
03/22/1991,6737
03/15/1991,6449
03/8/1991,6384
03/1/1991,6633
02/22/1991,6421
02/15/1991,6564
02/8/1991,6605
02/1/1991,6706
01/25/1991,6813
01/18/1991,6458
01/11/1991,6577
01/4/1991,6465
12/28/1990,6796
12/21/1990,7052
12/14/1990,6676
12/7/1990,7174
11/30/1990,7269
11/23/1990,6643
11/16/1990,6725
11/9/1990,6901
11/2/1990,6762
10/26/1990,6788
10/19/1990,6754
10/12/1990,7057
10/5/1990,7174
09/28/1990,7330
09/21/1990,7301
09/14/1990,7355
09/7/1990,7192
08/31/1990,7217
08/24/1990,7221
08/17/1990,7206
08/10/1990,7389
08/3/1990,7247
07/27/1990,7363
07/20/1990,7427
07/13/1990,7181
07/6/1990,7335
06/29/1990,7257
06/22/1990,7006
06/15/1990,7109
06/8/1990,6825
06/1/1990,6622
05/25/1990,6845
05/18/1990,6461
05/11/1990,6622
05/4/1990,6585
04/27/1990,6892
04/20/1990,6967
04/13/1990,6678
04/6/1990,6434
03/30/1990,6669
03/23/1990,6390
03/16/1990,6363
03/9/1990,6619
03/2/1990,7111
02/23/1990,6730
02/16/1990,6941
02/9/1990,7122
02/2/1990,7075
01/26/1990,7068
01/19/1990,6769
01/12/1990,6575
01/5/1990,6258
12/29/1989,6089
12/22/1989,7052
12/15/1989,6999
12/8/1989,7235
12/1/1989,7231
11/24/1989,6934
11/17/1989,6987
11/10/1989,6753
11/3/1989,6772
10/27/1989,6763
10/20/1989,6697
10/13/1989,6995
10/6/1989,7013
09/29/1989,6843
09/22/1989,7264
09/15/1989,7081
09/8/1989,7225
09/1/1989,7012
08/25/1989,6944
08/18/1989,7040
08/11/1989,7112
08/4/1989,7288
07/28/1989,7255
07/21/1989,7283
07/14/1989,7391
07/7/1989,7275
06/30/1989,7564
06/23/1989,7204
06/16/1989,7375
06/9/1989,7115
06/2/1989,6994
05/26/1989,7052
05/19/1989,6926
05/12/1989,6750
05/5/1989,6769
04/28/1989,6902
04/21/1989,6731
04/14/1989,6704
04/7/1989,6558
03/31/1989,6558
03/24/1989,6394
03/17/1989,6478
03/10/1989,6529
03/3/1989,6583
02/24/1989,6619
02/17/1989,6594
02/10/1989,6637
02/3/1989,6904
01/27/1989,6940
01/20/1989,7151
01/13/1989,7175
01/6/1989,7255
12/30/1988,7493
12/23/1988,7248
12/16/1988,7194
12/9/1988,7061
12/2/1988,7210
11/25/1988,6998
11/18/1988,6808
11/11/1988,6715
11/4/1988,6926
10/28/1988,6807
10/21/1988,6784
10/14/1988,6909
10/7/1988,6796
09/30/1988,6673
09/23/1988,6863
09/16/1988,7065
09/9/1988,6964
09/2/1988,7243
08/26/1988,7063
08/19/1988,6936
08/12/1988,6857
08/5/1988,7122
07/29/1988,7115
07/22/1988,7061
07/15/1988,6734
07/8/1988,6851
07/1/1988,6755
06/24/1988,6922
06/17/1988,6935
06/10/1988,6619
06/3/1988,6885
05/27/1988,6987
05/20/1988,6696
05/13/1988,6816
05/6/1988,6714
04/29/1988,7041
04/22/1988,6960
04/15/1988,7025
04/8/1988,6459
04/1/1988,6757
03/25/1988,6831
03/18/1988,6727
03/11/1988,6605
03/4/1988,6730
02/26/1988,6531
02/19/1988,6699
02/12/1988,6600
02/5/1988,6618
01/29/1988,6765
01/22/1988,6706
01/15/1988,6541
01/8/1988,6626
01/1/1988,7072
12/25/1987,6979
12/18/1987,7043
12/11/1987,6675
12/4/1987,7069
11/27/1987,6790
11/20/1987,6871
11/13/1987,6775
11/6/1987,6472
10/30/1987,6422
10/23/1987,6858
10/16/1987,6631
10/9/1987,6718
10/2/1987,6700
09/25/1987,6864
09/18/1987,6879
09/11/1987,7046
09/4/1987,6867
08/28/1987,7098
08/21/1987,6899
08/14/1987,7057
08/7/1987,6570
07/31/1987,6835
07/24/1987,6999
07/17/1987,7109
07/10/1987,7069
07/3/1987,7021
06/26/1987,7177
06/19/1987,6938
06/12/1987,7058
06/5/1987,6944
05/29/1987,7013
05/22/1987,6875
05/15/1987,6844
05/8/1987,6707
05/1/1987,6932
04/24/1987,6934
04/17/1987,6581
04/10/1987,6644
04/3/1987,6615
03/27/1987,6392
03/20/1987,6462
03/13/1987,6517
03/6/1987,6121
02/27/1987,6549
02/20/1987,6418
02/13/1987,6402
02/6/1987,6207
01/30/1987,6427
01/23/1987,6615
01/16/1987,7037
01/9/1987,6910
01/2/1987,7115
12/26/1986,6998
12/19/1986,7115
12/12/1986,6794
12/5/1986,6830
11/28/1986,6977
11/21/1986,7089
11/14/1986,6729
11/7/1986,6744
10/31/1986,6694
10/24/1986,6441
10/17/1986,6826
10/10/1986,6852
10/3/1986,6661
09/26/1986,6790
09/19/1986,6757
09/12/1986,7333
09/5/1986,7119
08/29/1986,7268
08/22/1986,7146
08/15/1986,6906
08/8/1986,6845
08/1/1986,6858
07/25/1986,6887
07/18/1986,7125
07/11/1986,6715
07/4/1986,7047
06/27/1986,7047
06/20/1986,7206
06/13/1986,7099
06/6/1986,7102
05/30/1986,7305
05/23/1986,7022
05/16/1986,6858
05/9/1986,6688
05/2/1986,6601
04/25/1986,6559
04/18/1986,6432
04/11/1986,6435
04/4/1986,6106
03/28/1986,5998
03/21/1986,5882
03/14/1986,6091
03/7/1986,5971
02/28/1986,6483
02/21/1986,6415
02/14/1986,6411
02/7/1986,6399
01/31/1986,6659
01/24/1986,6382
01/17/1986,6544
01/10/1986,6714
01/3/1986,6703
12/27/1985,6504
12/20/1985,6618
12/13/1985,6850
12/6/1985,6353
11/29/1985,6367
11/22/1985,6423
11/15/1985,6639
11/8/1985,6206
11/1/1985,6057
10/25/1985,6526
10/18/1985,6102
10/11/1985,6224
10/4/1985,6251
09/27/1985,6448
09/20/1985,6232
09/13/1985,6544
09/6/1985,6260
08/30/1985,6920
08/23/1985,6797
08/16/1985,6797
08/9/1985,6842
08/2/1985,6936
07/26/1985,6873
07/19/1985,6824
07/12/1985,6743
07/5/1985,7056
06/28/1985,6935
06/21/1985,6655
06/14/1985,6548
06/7/1985,6685
05/31/1985,6498
05/24/1985,6628
05/17/1985,6490
05/10/1985,6638
05/3/1985,6210
04/26/1985,6458
04/19/1985,6363
04/12/1985,6226
04/5/1985,6275
03/29/1985,6128
03/22/1985,5898
03/15/1985,5738
03/8/1985,5996
03/1/1985,5914
02/22/1985,5812
02/15/1985,5742
02/8/1985,5671
02/1/1985,5893
01/25/1985,5653
01/18/1985,5889
01/11/1985,6177
01/4/1985,6464
12/28/1984,6424
12/21/1984,6493
12/14/1984,6598
12/7/1984,6694
11/30/1984,6762
11/23/1984,6754
11/16/1984,6665
11/9/1984,6695
11/2/1984,6465
10/26/1984,6426
10/19/1984,6407
10/12/1984,6373
10/5/1984,6397
09/28/1984,6802
09/21/1984,6555
09/14/1984,6547
09/7/1984,6445
08/31/1984,6485
08/24/1984,6386
08/17/1984,6502
08/10/1984,6632
08/3/1984,6380
07/27/1984,6547
07/20/1984,6602
07/13/1984,6549
07/6/1984,6570
06/29/1984,6638
06/22/1984,6766
06/15/1984,6891
06/8/1984,6896
06/1/1984,6684
05/25/1984,6823
05/18/1984,6846
05/11/1984,6512
05/4/1984,6646
04/27/1984,7088
04/20/1984,6331
04/13/1984,6623
04/6/1984,6314
03/30/1984,6446
03/23/1984,6408
03/16/1984,6314
03/9/1984,6332
03/2/1984,6193
02/24/1984,6367
02/17/1984,6321
02/10/1984,6130
02/3/1984,6208
01/27/1984,6404
01/20/1984,5999
01/13/1984,6226
01/6/1984,5713
12/30/1983,5791
12/23/1983,6343
12/16/1983,6526
12/9/1983,6648
12/2/1983,6873
11/25/1983,6436
11/18/1983,6703
11/11/1983,6727
11/4/1983,6351
10/28/1983,6278
10/21/1983,6105
10/14/1983,6240
10/7/1983,6305
09/30/1983,6584
09/23/1983,6627
09/16/1983,6867
09/9/1983,6792
09/2/1983,6721
08/26/1983,6155
08/19/1983,6754
08/12/1983,6697
08/5/1983,6517
07/29/1983,6649
07/22/1983,6788
07/15/1983,6825
07/8/1983,6824
07/1/1983,6621
06/24/1983,6779
06/17/1983,6481
06/10/1983,6609
06/3/1983,6381
05/20/1983,6438
05/13/1983,6490
04/29/1983,6439
04/15/1983,6038
04/8/1983,5992
04/1/1983,5993
03/25/1983,5957
03/18/1983,5880
03/11/1983,5786
03/4/1983,5810
02/25/1983,5878
02/18/1983,5943
02/11/1983,5864
02/4/1983,5801
01/28/1983,5885
01/21/1983,6090
01/14/1983,6188
01/7/1983,6203
12/31/1982,7097
12/24/1982,6072
12/17/1982,6363
12/10/1982,6276
12/3/1982,6495
11/26/1982,5952
11/19/1982,6222
11/12/1982,6165
11/5/1982,6067
10/29/1982,6348
10/22/1982,6217
10/15/1982,6327
10/8/1982,6280
10/1/1982,6492
09/24/1982,6503
08/27/1982,6262
08/20/1982,6217
