years,SSP1-19,SSP1-26,SSP2-45,SSP3-70,SSP5-85
2020,2438.37240250544,2438.70326344911,2441.22190801674,2453.70343299974,2450.42826884394
2030,2742.6541615837,2808.86065399353,2863.25413658959,2946.00008125123,2951.26504512541
2040,2903.07986921855,3110.96606522188,3302.28736824782,3505.55203222956,3578.36600976515
2050,2961.49475747343,3329.05685239962,3740.46746362257,4114.76521887659,4345.99686136675
