Year,5%,Mean,95%
2015.00,2.43251,4.43040,7.87541
2016.00,1.62207,3.87452,7.04405
2017.00,0.298344,3.66419,6.77860
2018.00,0.820911,3.68083,7.34197
2019.00,0.833324,3.49608,6.92138
2020.00,1.91249,3.63241,7.08442
2021.00,0.978503,3.35663,7.22995
2022.00,1.59543,3.30047,6.70193
2023.00,2.01537,3.40733,6.45887
2024.00,1.18713,2.99696,6.22659
2025.00,1.44046,2.69591,6.41677
2026.00,0.643359,2.51854,6.42079
2027.00,1.04300,2.60749,6.16884
2028.00,1.45986,2.67612,5.93118
2029.00,1.21183,2.55217,5.76196
2030.00,0.622083,2.52576,6.27468
2031.00,0.725959,2.49477,6.30966
2032.00,0.271329,2.25334,6.52015
2033.00,0.344318,2.21165,6.57911
2034.00,0.612523,2.16016,6.44729
2035.00,0.269698,2.03272,6.08130
2036.00,0.562291,2.12994,6.70481
2037.00,0.272143,2.25861,7.39413
2038.00,0.269116,2.18199,6.06256
2039.00,0.433189,2.38125,6.42937
2040.00,0.185177,2.28537,7.19179
2041.00,0.329169,2.01794,6.45218
2042.00,0.154860,2.34683,6.75315
2043.00,0.0145790,2.35198,6.68886
2044.00,0.190594,2.32097,5.98268
2045.00,0.172535,2.27913,6.55176
2046.00,0.152521,2.12984,6.47631
2047.00,0.161363,1.93342,6.32880
2048.00,0.162958,1.93010,6.70882
2049.00,0.0320096,2.25905,7.00752
2050.00,0.101536,2.32686,6.21508
2051.00,0.536023,2.37518,6.12823
2052.00,0.411049,2.32924,6.75831
2053.00,0.406998,2.12607,6.14098
2054.00,0.298635,2.16066,6.53461
2055.00,0.190580,1.97225,7.03010
2056.00,0.176943,2.10132,6.65993
2057.00,0.174975,2.05902,6.12500
2058.00,0.186854,2.24239,6.38571
2059.00,0.353650,2.22384,6.20911
2060.00,0.160006,2.49841,6.08987
2061.00,0.0497449,2.21294,6.26237
2062.00,0.0377984,1.96055,6.74440
2063.00,0.108456,2.14374,6.54361
2064.00,0.0545271,1.97331,5.54550
2065.00,0.0655542,2.13358,6.09388
2066.00,0.0810353,1.99321,6.09939
2067.00,0.0593335,2.28684,6.33229
2068.00,0.0367624,2.13029,6.24430
2069.00,0.354139,2.20826,6.13071
2070.00,0.453628,2.36075,6.81367
2071.00,0.528248,2.24687,6.45823
2072.00,0.609070,2.36498,6.98789
2073.00,0.514106,2.39092,6.20499
2074.00,0.237289,2.15595,6.23819
2075.00,0.140539,2.22786,6.49565
2076.00,0.119059,2.29262,6.30880
2077.00,0.159844,2.25733,6.15499
2078.00,0.119689,2.11723,5.90762
2079.00,0.265360,2.13741,5.74446
2080.00,0.0867427,2.13642,5.89119
2081.00,0.125594,2.21146,5.72888
2082.00,0.172432,2.48039,6.46403
2083.00,0.190788,1.99163,5.71035
2084.00,0.308568,2.23321,5.74683
2085.00,0.129166,2.09574,6.54944
2086.00,0.229874,2.32479,6.26933
2087.00,0.230264,2.38188,6.29053
2088.00,0.155938,2.38405,5.93508
2089.00,0.137506,2.21502,5.79236
2090.00,0.152997,2.42155,6.18296
2091.00,0.409464,2.40825,6.71058
2092.00,0.118557,2.40198,6.33785
2093.00,0.144486,2.38807,5.84407
2094.00,0.129402,2.35652,6.11945
2095.00,0.0557143,2.52122,6.71640
2096.00,0.0744224,2.71665,6.16908
2097.00,0.0765154,2.81013,6.47696
2098.00,0.124027,2.62292,6.17384
2099.00,0.0751422,2.25439,6.05610
