Year,5%,Mean,95%
2015.00,1.35404,3.96682,6.60777
2016.00,1.64973,4.00999,7.19036
2017.00,1.20622,3.95095,7.19379
2018.00,1.56351,3.76486,6.74155
2019.00,1.37408,3.64142,6.61358
2020.00,1.14043,3.51228,6.84351
2021.00,0.700158,3.45628,6.93941
2022.00,0.934400,3.15364,6.51052
2023.00,0.834102,3.07302,6.69939
2024.00,0.827653,3.06741,6.62073
2025.00,0.993087,3.24424,6.96932
2026.00,0.589659,3.11324,7.02217
2027.00,0.544855,3.03426,6.36517
2028.00,0.636127,3.08690,6.45352
2029.00,0.487755,2.67287,6.49444
2030.00,0.481932,2.75865,6.68356
2031.00,0.477805,2.83496,6.35631
2032.00,0.463415,2.73802,6.30359
2033.00,0.192118,2.67507,6.12901
2034.00,0.453042,2.59585,5.83509
2035.00,0.295667,2.48043,6.01567
2036.00,0.198848,2.40078,6.02079
2037.00,0.256165,2.21178,5.80435
2038.00,0.308051,2.36633,6.41282
2039.00,0.250353,2.21439,5.69988
2040.00,0.135117,2.12079,6.10450
2041.00,0.177520,2.12965,6.12742
2042.00,0.158952,2.12438,5.85761
2043.00,0.0966105,1.86800,5.02332
2044.00,0.168458,1.95430,5.79088
2045.00,0.143814,2.02717,6.69905
2046.00,0.135772,1.81370,5.66901
2047.00,0.0866246,1.71435,5.51385
2048.00,0.160888,1.62295,5.53827
2049.00,0.0793988,1.49296,6.05005
2050.00,0.0343330,1.61658,5.83973
2051.00,0.0242832,1.55440,6.20873
2052.00,0.0890810,1.47711,5.82622
2053.00,0.0726736,1.46336,5.54376
2054.00,0.0786821,1.68136,6.16040
2055.00,0.0658999,1.45522,5.70814
2056.00,0.0789263,1.58258,5.45824
2057.00,0.0478667,1.47545,5.63016
2058.00,0.0363381,1.51235,5.50860
2059.00,0.0458952,1.40492,5.47681
2060.00,0.0339205,1.39496,5.17999
2061.00,0.0246074,1.26708,5.21407
2062.00,0.0227924,1.31862,5.16856
2063.00,0.0323330,1.30956,5.21080
2064.00,0.0150303,1.10374,5.11530
2065.00,0.0102152,1.24345,5.45900
2066.00,0.0177271,1.18753,5.46153
2067.00,0.0142047,1.15137,5.41611
2068.00,0.0104862,1.37749,5.88656
2069.00,0.0183033,1.06382,5.24314
2070.00,0.0103838,1.11611,5.34021
2071.00,0.00747499,1.16326,5.17737
2072.00,0.0182199,1.25020,5.30889
2073.00,0.00441217,1.12754,5.35568
2074.00,0.00831636,1.03053,4.53836
2075.00,0.00704671,1.20816,5.20481
2076.00,0.00226633,1.04322,5.74738
2077.00,0.0102810,0.977695,5.58293
2078.00,0.00686863,0.900666,4.90275
2079.00,0.000591243,1.04269,5.02057
2080.00,0.0168357,0.889187,4.63834
2081.00,0.00231422,1.05594,4.51974
2082.00,0.00636417,1.06234,5.26566
2083.00,0.00281789,0.961735,4.39999
2084.00,0.00635944,0.797350,5.18268
2085.00,0.00451630,0.865617,4.63673
2086.00,0.0102139,0.810990,4.56838
2087.00,0.00190219,0.831349,4.77292
2088.00,0.00469535,0.794527,4.52584
2089.00,0.00127729,0.748915,4.27377
2090.00,0.00303105,0.782145,4.11079
2091.00,0.00158178,0.653603,4.15920
2092.00,0.00300313,0.826155,4.89548
2093.00,0.000706587,0.749138,4.80179
2094.00,0.000636983,0.648078,4.46582
2095.00,0.00112622,0.623291,4.32504
2096.00,0.000406619,0.645767,4.72961
2097.00,0.000994437,0.697061,4.80658
2098.00,0.000596053,0.664136,4.96141
2099.00,8.73260e-05,0.745562,4.77604
