Year,5%,Mean,95%
2015.00,1.66263,4.14898,7.36293
2016.00,1.95025,4.28710,6.90955
2017.00,2.15016,4.17244,6.83572
2018.00,1.82456,4.03175,6.61484
2019.00,1.51721,3.75789,6.21276
2020.00,1.44288,3.88883,6.52064
2021.00,1.26500,3.80625,6.26123
2022.00,1.75441,3.80434,6.60285
2023.00,1.63021,3.73578,6.76018
2024.00,1.29157,3.68473,6.98497
2025.00,1.36906,3.65593,6.57402
2026.00,1.11476,3.44904,6.72330
2027.00,0.927906,3.52334,6.71325
2028.00,1.10479,3.38556,6.47633
2029.00,0.830039,3.24302,6.32634
2030.00,0.876190,3.24669,6.58202
2031.00,0.607298,2.94734,6.43963
2032.00,0.545062,2.79402,6.19297
2033.00,0.520474,2.79371,5.64829
2034.00,0.362207,2.82337,6.56813
2035.00,0.392833,2.69196,6.11958
2036.00,0.327564,2.79727,6.65469
2037.00,0.340375,2.59316,6.31219
2038.00,0.210583,2.58059,6.22609
2039.00,0.277917,2.35462,6.38744
2040.00,0.226956,2.38343,6.18573
2041.00,0.216260,2.34444,6.06172
2042.00,0.285691,2.15542,6.07505
2043.00,0.272888,2.27015,5.92139
2044.00,0.295348,2.19723,5.87564
2045.00,0.225999,2.10450,5.74106
2046.00,0.162537,2.00437,6.01506
2047.00,0.131970,1.95455,5.77281
2048.00,0.0614289,1.77882,5.80437
2049.00,0.0807075,1.78949,5.18176
2050.00,0.0443765,1.73943,5.79299
2051.00,0.0314962,1.66308,5.43731
2052.00,0.0671452,1.65625,6.15909
2053.00,0.0121800,1.50570,5.44141
2054.00,0.0283008,1.53344,5.57459
2055.00,0.0434595,1.54165,5.89890
2056.00,0.00316790,1.21315,5.32475
2057.00,0.0197054,1.26400,5.45964
2058.00,0.0406543,1.32077,5.35558
2059.00,0.0436920,1.37875,5.31511
2060.00,0.0396226,1.29503,5.53824
2061.00,0.00339629,1.26196,5.27918
2062.00,0.00455070,1.12143,5.13368
2063.00,0.0117256,1.15905,5.03249
2064.00,0.00607111,1.03896,4.32478
2065.00,0.0152281,1.14009,4.41062
2066.00,0.00388748,1.06259,4.46131
2067.00,0.00926486,0.973135,4.64066
2068.00,0.000846198,0.865779,4.35728
2069.00,0.00261024,0.895983,4.60659
2070.00,0.000732751,0.832005,4.40802
2071.00,1.22665e-06,0.801825,4.00543
2072.00,0.000563822,0.774438,4.53995
2073.00,4.72552e-05,0.710452,4.11814
2074.00,0.000114203,0.645036,3.43089
2075.00,0.00000,0.678442,4.02864
2076.00,1.20445e-05,0.681155,4.23491
2077.00,0.00134662,0.736694,4.61891
2078.00,0.000181068,0.656251,3.89503
2079.00,0.00000,0.592902,3.69906
2080.00,0.00000,0.707653,4.21481
2081.00,0.00000,0.651593,4.36197
2082.00,0.00000,0.534308,3.52728
2083.00,0.00000,0.571594,3.55652
2084.00,0.00000,0.566980,4.25527
2085.00,0.00000,0.645374,4.92202
2086.00,1.59237e-06,0.534114,3.99458
2087.00,8.10639e-06,0.547929,3.60179
2088.00,0.00000,0.527777,3.89525
2089.00,0.00000,0.460511,3.51285
2090.00,0.00000,0.433053,2.83951
2091.00,0.00000,0.374952,2.52881
2092.00,0.00000,0.377542,2.58828
2093.00,0.00000,0.440102,2.72447
2094.00,0.00000,0.540514,3.59688
2095.00,0.00000,0.540366,3.24112
2096.00,0.00000,0.448609,2.81644
2097.00,0.00000,0.434591,3.16998
2098.00,0.00000,0.445026,3.05133
2099.00,0.00000,0.391315,2.92854
